TIME_SPAN,HTTP,DNS,TCP
0,42862.0,8820.0,258704.0
1,69456.0,14116.0,413482.0
2,21886.0,4470.0,71088.0
3,51739.0,6393.0,161885.0
4,54167.0,7075.0,163352.0
5,86654.0,6595.0,108870.0
6,4861.0,1219.0,89184.0
7,13562.0,911.0,109591.0
8,24684.0,1963.0,212492.0
9,0,0,3179690.0
10,7373.0,0,1573611.0
11,0,0,228.0
12,0,0,390.0
13,0,0,1188.0
14,0,0,228.0
15,0,0,846.0
16,0,0,228.0
17,0,0,0
18,2113.0,0,720.0
19,0,0,0
20,0,0,54.0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,564.0
25,0,0,0
26,2113.0,0,720.0
27,0,0,0
28,0,0,888.0
29,0,0,1014.0
30,0,0,180.0
31,0,0,1212.0
32,0,0,624.0
33,0,0,1392.0
34,2113.0,0,720.0
35,0,0,1338.0
36,0,0,450.0
37,0,0,1110.0
38,0,0,282.0
39,0,0,624.0
40,0,0,0
41,6357.0,701.0,1598.0
42,0,0,812330.0
43,0,0,226930.0
44,0,0,0
45,0,0,524.0
46,0,0,0
47,0,0,1188.0
48,0,0,0
49,0,0,0
50,0,0,0
51,1070.0,0,54.0
52,0,0,0
53,0,0,0
54,0,0,228.0
55,0,0,0
56,0,0,0
57,0,0,0
58,0,0,0
59,0,0,228.0
60,0,0,624.0
61,0,0,1200.0
62,0,0,912.0
63,0,0,2280.0
64,0,0,0
65,0,0,1596.0
66,0,0,4164.0
67,1595.0,722.0,312.0
68,6279.0,0,12200.0
69,19303.0,840.0,33190.0
70,0,0,0
71,0,0,1368.0
72,28486.0,1108.0,61420.0
73,57025.0,5886.0,57838.0
74,67896.0,5021.0,78327.0
75,6514.0,0,64441.0
76,10145.0,0,88727.0
77,11783.0,540.0,45124.0
78,0,0,2934.0
79,0,0,3440.0
80,0,0,516.0
81,0,0,0
82,0,0,853.0
83,0,0,516.0
84,0,0,120.0
85,0,0,0
