TIME_SPAN	TCP
0	258704.0
1	413482.0
2	71088.0
3	161885.0
4	163352.0
5	108870.0
6	89184.0
7	109591.0
8	212492.0
9	3179690.0
10	1573611.0
11	228.0
12	390.0
13	1188.0
14	228.0
15	846.0
16	228.0
17	0
18	720.0
19	0
20	54.0
21	0
22	0
23	0
24	564.0
25	0
26	720.0
27	0
28	888.0
29	1014.0
30	180.0
31	1212.0
32	624.0
33	1392.0
34	720.0
35	1338.0
36	450.0
37	1110.0
38	282.0
39	624.0
40	0
41	1598.0
42	812330.0
43	226930.0
44	0
45	524.0
46	0
47	1188.0
48	0
49	0
50	0
51	54.0
52	0
53	0
54	228.0
55	0
56	0
57	0
58	0
59	228.0
60	624.0
61	1200.0
62	912.0
63	2280.0
64	0
65	1596.0
66	4164.0
67	312.0
68	12200.0
69	33190.0
70	0
71	1368.0
72	61420.0
73	57838.0
74	78327.0
75	64441.0
76	88727.0
77	45124.0
78	2934.0
79	3440.0
80	516.0
81	0
82	853.0
83	516.0
84	120.0
85	0
