"#" ," ","Time"                       ,"Priority","Category"      ,"Message"                       ,"Source"                                                  ,"Destination"                                 ,"Notes"                                ,"Rule"
"1" ,"" ,"UTC 11/01/2014 13:54:50.336","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"             ,"172.30.51.1, 3094, X0"                       ,"Port:  3094"                          ,""
"2" ,"" ,"UTC 11/01/2014 13:55:22.912","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                     ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
"3" ,"" ,"UTC 11/01/2014 13:55:46.720","Info"    ,"Network Access","ICMP packet allowed"           ,"128.9.168.98, 60499, X1, pinger-w3.ant.isi.edu"          ,"173.240.220.68, 8, X1"                       ,"Echo, Code:   0"                      ,""
"4" ,"" ,"UTC 11/01/2014 13:55:47.928","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 44578, X1"                               ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"5" ,"" ,"UTC 11/01/2014 13:55:49.912","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.5, 53, X0, complab-ad.complab.eng"              ,"172.30.51.1, 3098, X0"                       ,"Port:  3098"                          ,""
"6" ,"" ,"UTC 11/01/2014 13:55:51.528","Notice"  ,"Network Access","UDP packet dropped"            ,"98.125.26.50, 18320, X1, 98-125-26-50.dyn.centurytel.net","173.240.220.68, 31585, X1"                   ,"Port: 31585"                          ,""
"7" ,"" ,"UTC 11/01/2014 13:56:00.112","Info"    ,"Network Access","ICMP packet from LAN allowed"  ,"172.30.51.1, 3, X0"                                      ,"172.30.2.8, 3, X0, complab-spare.complab.eng","ICMP Destination Unreachable, Code: 3",""
"8" ,"" ,"UTC 11/01/2014 13:56:32.480","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                     ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
"9" ,"" ,"UTC 11/01/2014 13:56:47.928","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 44593, X1"                               ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"10","" ,"UTC 11/01/2014 13:56:50.448","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"             ,"172.30.51.1, 3103, X0"                       ,"Port:  3103"                          ,""
"11","" ,"UTC 11/01/2014 13:57:25.800","Notice"  ,"Network Access","UDP packet dropped"            ,"201.19.108.184, 46421, X1"                               ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                          ,""
"12","" ,"UTC 11/01/2014 13:57:26.176","Info"    ,"Network Access","ICMP packet from LAN allowed"  ,"172.30.51.1, 3, X0"                                      ,"172.30.2.8, 3, X0, complab-spare.complab.eng","ICMP Destination Unreachable, Code: 3",""
"13","" ,"UTC 11/01/2014 13:57:47.928","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 44608, X1"                               ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"14","" ,"UTC 11/01/2014 13:58:14.288","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.8, 53, X0, complab-spare.complab.eng"           ,"172.30.51.1, 3108, X0"                       ,"Port:  3108"                          ,""
