TIME_SPAN,DNS,TCP,HTTP,TLSv1,OCSP,HTTP/XML,RTMP
0,68,363,74,0,0,0,0
1,110,573,102,24,10,0,0
2,36,144,34,4,0,0,0
3,53,300,78,2,0,2,0
4,61,308,74,0,0,3,0
5,54,341,137,0,0,6,0
6,10,130,8,3,0,3,0
7,9,148,19,0,0,2,0
8,17,288,36,13,0,10,0
9,0,2969,0,2,0,0,0
10,0,1495,15,1,0,0,0
11,0,4,0,0,0,0,0
12,0,7,0,0,0,0,0
13,0,21,0,1,0,0,0
14,0,4,0,0,0,0,0
15,0,15,0,0,0,0,0
16,0,4,0,0,0,0,0
18,0,12,4,0,0,0,0
20,0,1,0,0,0,0,0
24,0,10,0,0,0,0,0
26,0,12,4,0,0,0,0
28,0,15,0,0,0,0,0
29,0,18,0,0,0,0,0
30,0,3,0,0,0,0,0
31,0,21,0,0,0,0,0
32,0,11,0,0,0,0,0
33,0,24,0,0,0,0,0
34,0,12,4,0,0,0,0
35,0,23,0,0,0,0,0
36,0,8,0,0,0,0,0
37,0,19,0,0,0,0,0
38,0,5,0,0,0,0,0
39,0,11,0,0,0,0,0
41,4,26,12,0,0,0,0
42,0,832,0,0,0,0,206
43,0,234,0,0,0,0,61
45,0,4,0,0,0,0,0
47,0,21,0,0,0,0,0
51,0,1,2,0,0,0,0
54,0,4,0,0,0,0,0
59,0,4,0,0,0,0,0
60,0,11,0,0,0,0,0
61,0,21,0,0,0,0,0
62,0,16,0,0,0,0,0
63,0,40,0,0,0,0,0
65,0,28,0,0,0,0,0
66,0,73,0,0,0,0,0
67,6,5,1,0,0,0,0
68,0,34,7,0,0,0,1
69,8,118,26,2,0,0,0
71,0,23,0,0,0,0,0
72,9,154,37,5,0,0,0
73,49,237,82,0,0,2,0
74,38,261,94,0,0,5,0
75,0,73,10,0,0,3,0
76,0,100,12,0,0,2,0
77,4,90,20,1,0,9,0
78,0,52,0,0,0,0,0
79,0,54,0,0,0,0,0
80,0,9,0,0,0,0,0
82,0,12,0,0,0,0,0
83,0,9,0,0,0,0,0
84,0,2,0,0,0,0,0
